2015-04-04 00:31:41,440 INFO [localhost-startStop-1] [JCMS 9] [jcms.TypeProcessor]  - ------------------------------
2015-04-04 00:31:41,440 INFO [localhost-startStop-1] [JCMS 9] [jcms.TypeProcessor]  - Type PortletSignUp is uptodate
2015-04-04 00:31:41,440 INFO [localhost-startStop-1] [JCMS 9] [jcms.TypeProcessor]  - ------------------------------
2015-04-04 00:31:41,440 INFO [localhost-startStop-1] [JCMS 9] [jcms.TypeProcessor]  - Type PortletStatMetrics is uptodate
2015-04-04 00:31:41,440 INFO [localhost-startStop-1] [JCMS 9] [jcms.TypeProcessor]  - ------------------------------
2015-04-04 00:31:41,440 INFO [localhost-startStop-1] [JCMS 9] [jcms.TypeProcessor]  - Type PortletStatReport is uptodate
2015-04-04 00:31:41,440 INFO [localhost-startStop-1] [JCMS 9] [jcms.TypeProcessor]  - ------------------------------
2015-04-04 00:31:41,441 INFO [localhost-startStop-1] [JCMS 9] [jcms.TypeProcessor]  - Type PortletTopMember is uptodate
2015-04-04 00:31:41,441 INFO [localhost-startStop-1] [JCMS 9] [jcms.TypeProcessor]  - ------------------------------
2015-04-04 00:31:41,441 INFO [localhost-startStop-1] [JCMS 9] [jcms.TypeProcessor]  - Type PortletWorkflow is uptodate
2015-04-04 00:31:41,441 INFO [localhost-startStop-1] [JCMS 9] [jcms.TypeProcessor]  - ------------------------------
2015-04-04 00:31:41,441 INFO [localhost-startStop-1] [JCMS 9] [jcms.TypeProcessor]  - Type PortletWYSIWYG is uptodate
2015-04-04 00:31:41,441 INFO [localhost-startStop-1] [JCMS 9] [jcms.TypeProcessor]  - ------------------------------
2015-04-04 00:31:41,441 INFO [localhost-startStop-1] [JCMS 9] [jcms.TypeProcessor]  - Type SignUp is uptodate
2015-04-04 00:31:41,441 INFO [localhost-startStop-1] [JCMS 9] [jcms.TypeProcessor]  - ------------------------------
2015-04-04 00:31:41,441 INFO [localhost-startStop-1] [JCMS 9] [jcms.TypeProcessor]  - Type SmallNews is uptodate
2015-04-04 00:31:41,441 INFO [localhost-startStop-1] [JCMS 9] [jcms.TypeProcessor]  - ------------------------------
2015-04-04 00:31:41,441 INFO [localhost-startStop-1] [JCMS 9] [jcms.TypeProcessor]  - Type WebPage is uptodate
2015-04-04 00:31:41,441 INFO [localhost-startStop-1] [JCMS 9] [jcms.TypeProcessor]  - ------------------------------
2015-04-04 00:31:41,441 INFO [localhost-startStop-1] [JCMS 9] [jcms.TypeProcessor]  - Type ArticleMS is uptodate
2015-04-04 00:31:41,442 INFO [localhost-startStop-1] [JCMS 9] [jcms.TypeProcessor]  - ------------------------------
2015-04-04 00:31:41,442 INFO [localhost-startStop-1] [JCMS 9] [jcms.TypeProcessor]  - Type Tag has been updated. Regenerate it.
2015-04-04 00:31:42,737 INFO [localhost-startStop-1] [JCMS 9] [jcms.TypeProcessor]  - Generate EditTagHandler.java
2015-04-04 00:31:43,144 INFO [localhost-startStop-1] [JCMS 9] [jcms.TypeProcessor]  - Generate jsp editTagModal.jsp
2015-04-04 00:31:43,274 INFO [localhost-startStop-1] [JCMS 9] [jcms.TypeProcessor]  - Generate jsp doTagFormHandler.jsp
2015-04-04 00:31:43,394 INFO [localhost-startStop-1] [JCMS 9] [jcms.TypeProcessor]  - Generate jsp doTagFullDisplay.jsp
2015-04-04 00:31:43,798 INFO [localhost-startStop-1] [JCMS 9] [jcms.TypeProcessor]  - Generate jsp doTagResultDisplay.jsp
2015-04-04 00:31:43,884 INFO [localhost-startStop-1] [JCMS 9] [jcms.TypeProcessor]  - Generate jsp doEditTag.jsp
2015-04-04 00:31:44,045 INFO [localhost-startStop-1] [JCMS 9] [jcms.TypeProcessor]  - Generate jsp editTag.jsp
2015-04-04 00:31:44,209 INFO [localhost-startStop-1] [JCMS 9] [jcms.TypeProcessor]  - Generate jsp doTagDiff.jsp
2015-04-04 00:31:44,476 INFO [localhost-startStop-1] [JCMS 9] [jcms.TypeProcessor]  - Generate jsp doEditTagModal.jsp
2015-04-04 00:31:44,605 INFO [localhost-startStop-1] [JCMS 9] [jcms.TypeProcessor]  - ------------------------------
2015-04-04 00:31:44,606 INFO [localhost-startStop-1] [JCMS 9] [jcms.TypeProcessor]  - Type CategoryExtension is uptodate
2015-04-04 00:31:44,606 INFO [localhost-startStop-1] [JCMS 9] [jcms.TypeProcessor]  - ------------------------------
2015-04-04 00:31:44,606 INFO [localhost-startStop-1] [JCMS 9] [jcms.TypeProcessor]  - Type FileDocumentExtension is uptodate
2015-04-04 00:31:44,606 INFO [localhost-startStop-1] [JCMS 9] [jcms.TypeProcessor]  - ------------------------------
2015-04-04 00:31:44,606 INFO [localhost-startStop-1] [JCMS 9] [jcms.TypeProcessor]  - Type GroupExtension is uptodate
2015-04-04 00:31:44,606 INFO [localhost-startStop-1] [JCMS 9] [jcms.TypeProcessor]  - ------------------------------
2015-04-04 00:31:44,606 INFO [localhost-startStop-1] [JCMS 9] [jcms.TypeProcessor]  - Type MemberExtension is uptodate
2015-04-04 00:31:44,606 INFO [localhost-startStop-1] [JCMS 9] [jcms.TypeProcessor]  - ------------------------------
2015-04-04 00:31:44,606 INFO [localhost-startStop-1] [JCMS 9] [jcms.TypeProcessor]  - Type WorkspaceExtension is uptodate
2015-04-04 00:31:44,606 INFO [localhost-startStop-1] [JCMS 9] [jcms.TypeProcessor]  - ------------------------------
2015-04-04 00:31:44,606 INFO [localhost-startStop-1] [JCMS 9] [jcms.TypeProcessor]  - Generate shared resources
2015-04-04 00:31:44,606 INFO [localhost-startStop-1] [JCMS 9] [jcms.TypeProcessor]  - Generate LinkIndexListener.java
2015-04-04 00:31:44,944 INFO [localhost-startStop-1] [JCMS 9] [jcms.TypeProcessor]  - Generate FileIndexListener.java
2015-04-04 00:31:45,265 INFO [localhost-startStop-1] [JCMS 9] [jcms.TypeProcessor]  - ------------------------------
2015-04-04 00:31:45,266 INFO [localhost-startStop-1] [JCMS 9] [jcms.TypeProcessor]  - Compile generated Java classes
2015-04-04 00:31:45,530 INFO [localhost-startStop-1] [JCMS 9] [jcms.TypeProcessor]  - ------------------------------
2015-04-04 00:31:45,530 INFO [localhost-startStop-1] [JCMS 9] [jcms.TypeProcessor]  - Check StorableHandler
2015-04-04 00:31:45,572 INFO [localhost-startStop-1] [JCMS 9] [jcms.TypeProcessor]  - Generate StorableHandler for Tag
2015-04-04 00:31:45,670 INFO [localhost-startStop-1] [JCMS 9] [jcms.TypeProcessor]  - ------------------------------
2015-04-04 00:31:45,670 INFO [localhost-startStop-1] [JCMS 9] [jcms.TypeProcessor]  - Load generated.AbstractCollection
2015-04-04 00:31:45,672 INFO [localhost-startStop-1] [JCMS 9] [jcms.TypeProcessor]  - Load generated.AbstractParent
2015-04-04 00:31:45,674 INFO [localhost-startStop-1] [JCMS 9] [jcms.TypeProcessor]  - Load generated.AbstractPortal
2015-04-04 00:31:45,676 INFO [localhost-startStop-1] [JCMS 9] [jcms.TypeProcessor]  - Load generated.AbstractPortlet
2015-04-04 00:31:45,678 INFO [localhost-startStop-1] [JCMS 9] [jcms.TypeProcessor]  - Load generated.AbstractPortletSkinable
2015-04-04 00:31:45,680 INFO [localhost-startStop-1] [JCMS 9] [jcms.TypeProcessor]  - Load generated.AbstractPortletStat
2015-04-04 00:31:45,681 INFO [localhost-startStop-1] [JCMS 9] [jcms.TypeProcessor]  - Load generated.AbstractPortletStatReport
2015-04-04 00:31:45,682 INFO [localhost-startStop-1] [JCMS 9] [jcms.TypeProcessor]  - Load generated.Article
2015-04-04 00:31:45,683 INFO [localhost-startStop-1] [JCMS 9] [jcms.TypeProcessor]  - Load generated.DBMailMessage
2015-04-04 00:31:45,684 INFO [localhost-startStop-1] [JCMS 9] [jcms.TypeProcessor]  - Load generated.Faq
